name,age,department,city
Alice,30,Engineering,Berlin
Bob,25,Engineering,Munich
Carla,34,Sales,Berlin
David,45,Sales,Hamburg
Elena,29,Marketing,Munich
Frank,52,Engineering,Hamburg
Grace,38,Marketing,Berlin
Hans,41,Sales,Cologne
Ingrid,27,Engineering,Munich
Jorge,33,Marketing,Hamburg
Katrin,48,Sales,Berlin
Liam,31,Engineering,Cologne
Mona,26,Marketing,Berlin
Noah,44,Sales,Munich
Olga,36,Engineering,Hamburg
Pavel,39,Marketing,Cologne
Quinn,28,Engineering,Berlin
Rosa,50,Sales,Hamburg
Stefan,35,Engineering,Munich
Tanja,42,Marketing,Berlin
Uwe,47,Sales,Cologne
Vera,32,Engineering,Hamburg
Wolfgang,55,Sales,Munich
Xenia,24,Marketing,Berlin
Yusuf,37,Engineering,Cologne
Zora,40,Marketing,Hamburg
Anton,29,Sales,Berlin
Bianca,33,Engineering,Munich
Clemens,46,Marketing,Cologne
Doris,51,Sales,Hamburg
Emil,30,Engineering,Berlin
Frieda,43,Marketing,Munich
Gustav,38,Sales,Cologne
Hilde,27,Engineering,Hamburg
Ivan,49,Sales,Berlin
Julia,34,Marketing,Munich
Klaus,53,Engineering,Cologne
Lena,25,Sales,Hamburg
Martin,36,Marketing,Berlin
Nadia,31,Engineering,Munich
